Data,Não indexadas,Indexados,Impressões
2026-05-21,1171,681,831
2026-05-22,1172,678,1007
2026-05-23,1172,678,915
2026-05-24,1172,678,946
2026-05-25,1147,701,926
2026-05-26,1147,701,1073
2026-05-27,1147,701,1608
2026-05-28,1147,701,814
2026-05-29,1149,700,1048
2026-05-30,1149,700,811
2026-05-31,1149,700,758
2026-06-01,1208,640,2400
2026-06-02,1208,640,1978
2026-06-03,1208,640,2027
2026-06-04,1208,640,2987
2026-06-05,1208,639,2925
2026-06-06,1208,639,2174
2026-06-07,1208,639,1868
2026-06-08,1207,640,2165
2026-06-09,1207,640,2117
2026-06-10,1207,640,2404
2026-06-11,1207,640,2618
2026-06-12,1201,648,2121
2026-06-13,1201,648,1765
2026-06-14,1201,648,1955
2026-06-15,1201,648,1702
2026-06-16,1201,648,2370
2026-06-17,1201,648,1756
2026-06-18,1201,648,1847
2026-06-19,1201,648,2268
2026-06-20,1201,648,2108
2026-06-21,1201,648,2792
2026-06-22,1201,648,2959
2026-06-23,1201,648,2498
2026-06-24,1201,648,2594
2026-06-25,1201,648,2862
2026-06-26,1201,648,2455
2026-06-27,1201,648,2717
2026-06-28,1201,648,2487
2026-06-29,1201,648,2339
2026-06-30,1143,721,2366
2026-07-01,1143,721,2769
2026-07-02,1143,721,2757
2026-07-03,1143,721,2831
2026-07-04,1143,721,2589
2026-07-05,1143,721,3428
2026-07-06,1143,721,3286
2026-07-07,1143,721,3654
2026-07-08,1143,721,3827
2026-07-09,1143,721,4475
2026-07-10,1103,774,4244
2026-07-11,1103,774,3617
2026-07-12,1103,774,3680
2026-07-13,1103,774,4516
2026-07-14,1103,774,4561
2026-07-15,1103,774,4900
2026-07-16,1103,774,5387
2026-07-17,1103,774,5099
2026-07-18,1103,774,4742
2026-07-19,1103,774,5327
2026-07-20,1103,774,5278
2026-07-21,1103,774,5957
2026-07-22,1103,774,5540
2026-07-23,1103,774,5765
2026-07-24,1150,737,5189
2026-07-25,1150,737,4349
2026-07-26,1150,737,4749
2026-07-27,1150,737,5006
2026-07-28,1150,737,3684
2026-07-29,1150,737,4610
2026-07-30,1150,737,4313
2026-07-31,1150,737,4854
2026-08-01,1150,737,3139
2026-08-02,1150,737,3556
2026-08-03,1150,737,5254
2026-08-04,1150,737,5316
2026-08-05,1147,742,5367
2026-08-06,1147,742,4261
2026-08-07,1150,739,5339
2026-08-08,1150,739,4793
2026-08-09,1150,739,6028
2026-08-10,1140,763,6470
2026-08-11,1140,763,6766
2026-08-12,1140,763,6521
2026-08-13,1140,763,6424
2026-08-14,1116,796,6749
2026-08-15,1116,796,6749
2026-08-16,1116,796,5629
