Motivo,Fonte,Validação,Páginas
Página alternativa com tag canônica adequada,Site,Não foi iniciado,311
Erro soft 404,Site,Não foi iniciado,30
Erro no servidor (5xx),Site,Não foi iniciado,27
"Excluída pela tag ""noindex""",Site,Não foi iniciado,8
Página com redirecionamento,Site,Não foi iniciado,5
Bloqueada pelo robots.txt,Site,Não foi iniciado,2
Não encontrado (404),Site,Não foi iniciado,1
"Rastreada, mas não indexada no momento",Sistemas do Google,Não foi iniciado,100
"Cópia, o Google e o usuário selecionaram uma página canônica diferente",Sistemas do Google,Não foi iniciado,3
"Detectada, mas não indexada no momento",Sistemas do Google,Aprovado,629
